Unnamed: 0,QP
0,5190.069
1,5190.069
2,5190.069
3,5190.069
4,5190.069
5,5190.069
0,4539.585
1,4539.585
2,4539.585
3,4539.585
4,4539.585
5,4539.585
0,4913.497
1,4913.497
2,4913.497
3,4913.497
4,4913.497
5,4913.497
0,4550.722
1,4550.722
2,4550.722
3,4550.722
4,4550.722
5,4550.722
0,4654.555
1,4654.555
2,4654.555
3,4654.555
4,4654.555
5,4654.555
0,4926.22
1,4926.22
2,4926.22
3,4926.22
4,4926.22
5,4926.22
0,4881.331
1,4881.331
2,4881.331
3,4881.331
4,4881.331
5,4881.331
0,4869.388
1,4869.388
2,4869.388
3,4869.388
4,4869.388
5,4869.388
0,4656.094
1,4656.094
2,4656.094
3,4656.094
4,4656.094
5,4656.094
0,5011.152
1,5011.152
2,5011.152
3,5011.152
4,5011.152
5,5011.152
0,4846.754
1,4846.754
2,4846.754
3,4846.754
4,4846.754
5,4846.754
0,4618.177
1,4618.177
2,4618.177
3,4618.177
4,4618.177
5,4618.177
0,4735.778
1,4735.778
2,4735.778
3,4735.778
4,4735.778
5,4735.778
0,4919.423
1,4919.423
2,4919.423
3,4919.423
4,4919.423
5,4919.423
0,4809.686
1,4809.686
2,4809.686
3,4809.686
4,4809.686
5,4809.686
0,5014.331
1,5014.331
2,5014.331
3,5014.331
4,5014.331
5,5014.331
0,4373.686
1,4373.686
2,4373.686
3,4373.686
4,4373.686
5,4373.686
0,5024.063
1,5024.063
2,5024.063
3,5024.063
4,5024.063
5,5024.063
0,4914.744
1,4914.744
2,4914.744
3,4914.744
4,4914.744
5,4914.744
0,4515.323
1,4515.323
2,4515.323
3,4515.323
4,4515.323
5,4515.323
