Column1,Column2,Column6,Column7,Column8,improv,,
100,0.01,"6,752.55",T,10.38%,-64.83%,,
,0.03,"8,246.85",T,19.38%,-47.73%,,
,0.05,"10,455.04",T,31.87%,-26.67%,,
,0.07,"13,794.67",T,44.76%,-6.42%,,
600,0.01,"4,906.96",T,6.20%,-88.37%,,
,0.03,"6,564.47",T,24.12%,-61.71%,,
,0.05,"8,073.59",T,30.22%,-54.86%,,
,0.07,"10,650.16",T,42.31%,-39.61%,,improv av
900,0.01,"5,093.06",T,10.72%,-82.36%,,-59.18%
,0.03,"5,942.51",T,14.46%,-80.14%,,
,0.05,"7,833.00",T,28.48%,-63.42%,,
,0.07,"10,190.50",T,40.01%,-48.74%,,
"1,500",0.01,"4,857.62",T,5.23%,-91.54%,,
,0.03,"5,732.81",T,11.36%,-82.88%,,
,0.05,"7,723.06",T,28.22%,-61.30%,,
,0.07,"10,135.42",T,40.24%,-46.32%,,
