Omega,Tolerance,Objective,Time,Improvement,Objective_1,Time_2,Improvement_3,Objective_4,Time_5,Improvement_6
100,0.01,253.92,123,-8.84%,232.26,127,-16.62%,278.54,53,0.00%
,0.03,258.16,191,-7.82%,232.54,451,-16.96%,279.16,61,-0.32%
,0.05,265.16,245,-5.63%,232.79,429,-17.15%,280.43,57,-0.20%
,0.07,265.43,289,-6.54%,277.26,693,-2.37%,283.71,58,-0.10%
600,0.01,238.39,669,-3.32%,xmark,244, ,248.50,13,0.78%
,0.03,240.03,768,3.40%,xmark,552, ,251.93,16,8.53%
,0.05,254.61,829,9.60%,xmark,583, ,252.48,18,8.69%
,0.07,258.43,873,4.64%,xmark,846, ,253.08,21,2.47%
900,0.01,234.38,"1,024",4.21%,xmark,267, ,244.89,30,8.88%
,0.03,239.71,"1,115",6.62%,xmark,630, ,245.71,46,9.29%
,0.05,253.70,"1,194",12.70%,xmark,573, ,245.97,254,9.26%
,0.07,255.05,"1,246",13.44%,xmark,948, ,246.22,194,9.51%
"1,500",0.01,235.36,"1,815",-1.35%,xmark,429, ,233.37,69,-2.18%
,0.03,239.46,"1,970",3.95%,xmark,836, ,235.44,61,2.21%
,0.05,253.49,"2,083",8.51%,xmark,739, ,235.63,59,0.87%
,0.07,254.93,"2,137",10.68%,xmark,"1,260", ,239.96,56,4.18%
